height,width,example,answer,ans_mod10,tree_sig,ans_sublabels
1,1,8,8,8,d,_
3,9,(+4(*79)),67,7,(od(odd)),_______37
8,37,(+2(+4(+(+(+(+(*74)(+07))1)5)(+56)))),58,8,(od(od(o(o(o(o(odd)(odd))d)d)(odd)))),__________________8____75_6_1____1268
1,1,1,1,1,d,_
3,9,(*2(*56)),60,0,(od(odd)),_______00
4,13,(*1(+(*64)7)),31,1,(od(o(odd)d)),_________4_11
4,25,(*(+(*11)2)(+(*01)(*01))),0,0,(o(o(odd)d)(o(odd)(odd))),________1_3______0____000
4,13,(*1(+(+44)7)),15,5,(od(o(odd)d)),_________8_55
3,9,(*(+77)1),14,4,(o(odd)d),______4_4
6,25,(*(*(*(*4(+09))(+73))6)0),0,0,(o(o(o(od(odd))(odd))d)d),_____________96____00_0_0
8,37,(+2(+4(+(+(+(+(+74)(+07))1)5)(+56)))),41,1,(od(od(o(o(o(o(odd)(odd))d)d)(odd)))),__________________1____78_9_4____1591
3,9,(*(+00)1),0,0,(o(odd)d),______0_0
2,5,(+44),8,8,(odd),____8
3,13,(*(*11)(*67)),42,2,(o(odd)(odd)),______1____22
4,21,(*(+(*01)2)(+(*01)2)),4,4,(o(o(odd)d)(o(odd)d)),________0_2______0_24
4,13,(*3(+(+70)0)),21,1,(od(o(odd)d)),_________7_71
2,5,(+01),1,1,(odd),____1
2,5,(+74),11,1,(odd),____1
3,9,(+(+03)2),5,5,(o(odd)d),______3_5
1,1,1,1,1,d,_
1,1,0,0,0,d,_
6,29,(*(*(+22)7)(+(*1(*4(+79)))4)),1904,4,(o(o(odd)d)(o(od(od(odd)))d)),________4_8____________644_84
1,1,5,5,5,d,_
6,25,(*(*(*(*4(+99))(+73))6)0),0,0,(o(o(o(od(odd))(odd))d)d),_____________82____00_0_0
1,1,9,9,9,d,_
3,13,(+(+55)(*48)),42,2,(o(odd)(odd)),______0____22
2,5,(*11),1,1,(odd),____1
2,5,(+00),0,0,(odd),____0
3,9,(*(+17)6),48,8,(o(odd)d),______8_8
6,29,(*(+(+(*(*64)(+44))3)(*78))1),251,1,(o(o(o(o(odd)(odd))d)(odd))d),____________4____82_5____61_1
2,5,(+01),1,1,(odd),____1
3,9,(+(+00)0),0,0,(o(odd)d),______0_0
8,37,(+2(+4(+(+(+(*(+74)(+07))1)5)(+56)))),100,0,(od(od(o(o(o(o(odd)(odd))d)d)(odd)))),__________________1____77_8_3____1480
4,17,(*(*1(+10))(+10)),1,1,(o(od(odd))(odd)),_________11____11
5,17,(*3(+(+7(+09))1)),51,1,(od(o(od(odd))d)),____________96_71
2,5,(+74),11,1,(odd),____1
2,5,(+34),7,7,(odd),____7
3,9,(+4(*00)),4,4,(od(odd)),_______04
2,5,(*08),0,0,(odd),____0
2,5,(*00),0,0,(odd),____0
1,1,7,7,7,d,_
4,13,(*3(+(+70)3)),30,0,(od(o(odd)d)),_________7_00
2,5,(+08),8,8,(odd),____8
7,29,(*2(*5(+(+08)(*9(*0(*94)))))),80,0,(od(od(o(odd)(od(od(odd)))))),____________8__________600800
1,1,8,8,8,d,_
3,9,(+(+33)7),13,3,(o(odd)d),______6_3
4,25,(*(+(*01)2)(+(*01)(*01))),0,0,(o(o(odd)d)(o(odd)(odd))),________0_2______0____000
4,13,(*1(+(*44)7)),23,3,(od(o(odd)d)),_________6_33
1,1,3,3,3,d,_
5,21,(*(+(*(+21)(+21))7)5),80,0,(o(o(o(odd)(odd))d)d),__________3____39_6_0
6,29,(+(+(*(+2(+94))1)9)(+(*15)7)),36,6,(o(o(o(od(odd))d)d)(o(odd)d)),_____________35_5_4______5_26
3,9,(*2(*04)),0,0,(od(odd)),_______00
2,5,(*44),16,6,(odd),____6
5,17,(*(+(*(+18)4)1)1),37,7,(o(o(o(odd)d)d)d),__________9_6_7_7
6,45,(*(+(*7(+(+10)(*45)))8)(+8(+(+(+99)7)(+53)))),6355,5,(o(o(od(o(odd)(odd)))d)(od(o(o(odd)d)(odd)))),_____________1____017_5___________8_5____8315
2,5,(*11),1,1,(odd),____1
1,1,3,3,3,d,_
1,1,9,9,9,d,_
1,1,0,0,0,d,_
8,29,(+6(*(+(*(*(*0(*00))0)0)0)8)),6,6,(od(o(o(o(o(od(odd))d)d)d)d)),__________________00_0_0_0_06
2,5,(*09),0,0,(odd),____0
2,5,(*55),25,5,(odd),____5
4,13,(*0(*9(*11))),0,0,(od(od(odd))),__________190
8,29,(+6(*(+(*(*(*0(*00))0)0)6)0)),6,6,(od(o(o(o(o(od(odd))d)d)d)d)),__________________00_0_0_6_06
1,1,6,6,6,d,_
3,9,(+9(+49)),22,2,(od(odd)),_______32
4,17,(*(+6(+44))(+65)),154,4,(o(od(odd))(odd)),_________84____14
3,9,(*(+71)9),72,2,(o(odd)d),______8_2
5,21,(*(+(*35)(*(+85)0))8),120,0,(o(o(odd)(o(odd)d))d),________5______3_05_0
2,5,(+55),10,0,(odd),____0
6,49,(*(+(+(+2(*04))8)7)(+(+6(+08))(*(*77)(+0(+52))))),6069,9,(o(o(o(od(odd))d)d)(o(od(odd))(o(odd)(od(odd))))),_____________02_0_7_________84______9_______77379
2,5,(+09),9,9,(odd),____9
7,25,(+6(*1(*(*(+1(+00))0)0))),6,6,(od(od(o(o(od(odd))d)d))),_________________01_0_006
5,17,(+(*(+(+66)6)5)3),93,3,(o(o(o(odd)d)d)d),__________2_8_0_3
5,21,(*(+(*35)(*(+55)3))8),360,0,(o(o(odd)(o(odd)d))d),________5______0_05_0
7,25,(+6(*(*(*(*5(*00))0)8)5)),6,6,(od(o(o(o(od(odd))d)d)d)),________________00_0_0_06
3,13,(*(+83)(*45)),220,0,(o(odd)(odd)),______1____00
6,21,(*9(+(+(+1(*30))6)8)),135,5,(od(o(o(od(odd))d)d)),______________01_7_55
6,41,(*(+2(+(+5(*93))(+(*17)(*60))))(*6(*07))),0,0,(o(od(o(od(odd))(o(odd)(odd))))(od(odd))),______________72______7____0791_______000
3,9,(*(+00)0),0,0,(o(odd)d),______0_0
5,21,(*(+(*35)(*(+55)0))8),120,0,(o(o(odd)(o(odd)d))d),________5______0_05_0
5,17,(+(*(+(+68)6)5)3),103,3,(o(o(o(odd)d)d)d),__________4_0_0_3
2,5,(*41),4,4,(odd),____4
3,9,(+6(+44)),14,4,(od(odd)),_______84
6,25,(*(+(*(+1(+00))1)1)(+26)),16,6,(o(o(o(od(odd))d)d)(odd)),_____________01_1_2____86
10,81,(*(*(*(*(*(+9(*(+5(*18))1))9)(*89))(+9(+(+8(*36))5)))9)(*(*(*3(*05))(*72))(+40))),0,0,(o(o(o(o(o(od(o(od(odd))d))d)(odd))(od(o(od(odd))d)))d)(o(o(od(odd))(odd))(odd))),______________________83_32_8____26____________86_100_0___________00____40____400
6,45,(*(+8(+(+(+99)7)(+53)))(+8(+(+(+99)7)(+53)))),1681,1,(o(od(o(o(odd)d)(odd)))(od(o(o(odd)d)(odd)))),_____________8_5____831___________8_5____8311
2,5,(+66),12,2,(odd),____2
2,5,(*15),5,5,(odd),____5
1,1,7,7,7,d,_
5,25,(+0(+(*(*71)(+60))(*57))),77,7,(od(o(o(odd)(odd))(odd))),___________7____62____577
1,1,4,4,4,d,_
7,37,(*(+(*(+(*0(+00))1)(+26))(*75))(*68)),2064,4,(o(o(o(o(od(odd))d)(odd))(odd))(odd)),_______________00_1____88____53____84
3,13,(+(+76)(*84)),45,5,(o(odd)(odd)),______3____25
9,61,(*1(*(+(*(+63)(+0(+07)))(+4(*3(*(+(*96)7)1))))(*(+(*60)5)6))),7500,0,(od(o(o(o(odd)(od(odd)))(od(od(o(o(odd)d)d))))(o(o(odd)d)d))),_____________9_______773______________4_1_1370________0_5_000
2,5,(*17),7,7,(odd),____7
5,17,(+(*0(*9(*83)))1),1,1,(o(od(od(odd)))d),____________460_1
2,5,(+75),12,2,(odd),____2
3,9,(+(+10)0),1,1,(o(odd)d),______1_1
2,5,(+00),0,0,(odd),____0
1,1,9,9,9,d,_
2,5,(+20),2,2,(odd),____2
1,1,7,7,7,d,_
4,17,(+(+7(+70))(+78)),29,9,(o(od(odd))(odd)),_________74____59
7,25,(+6(*(*(*(*5(*00))0)8)1)),6,6,(od(o(o(o(od(odd))d)d)d)),________________00_0_0_06
7,25,(+6(*(*(*(*5(*51))8)1)8)),1606,6,(od(o(o(o(od(odd))d)d)d)),________________55_0_0_06
1,1,0,0,0,d,_
2,5,(+42),6,6,(odd),____6
1,1,4,4,4,d,_
2,5,(*94),36,6,(odd),____6
3,9,(*6(+44)),48,8,(od(odd)),_______88
3,9,(+(+00)0),0,0,(o(odd)d),______0_0
1,1,8,8,8,d,_
7,25,(+6(*(*(*(*5(*55))8)1)8)),8006,6,(od(o(o(o(od(odd))d)d)d)),________________55_0_0_06
3,9,(+(+10)0),1,1,(o(odd)d),______1_1
5,25,(*(*3(+35))(+0(+3(*35)))),432,2,(o(od(odd))(od(od(odd)))),_________84__________5882
2,5,(+18),9,9,(odd),____9
2,5,(+09),9,9,(odd),____9
5,21,(*(+(*(+11)1)1)(+26)),24,4,(o(o(o(odd)d)d)(odd)),__________2_2_3____84
5,21,(*(+(*35)(*(+55)3))8),360,0,(o(o(odd)(o(odd)d))d),________5______0_05_0
2,5,(+60),6,6,(odd),____6
1,1,2,2,2,d,_
1,1,2,2,2,d,_
1,1,5,5,5,d,_
1,1,5,5,5,d,_
3,9,(*(+10)4),4,4,(o(odd)d),______1_4
2,5,(*00),0,0,(odd),____0
10,65,(+(+(+(*20)(*(*5(+8(+(*(*43)9)5)))9))3)(+(*(+21)(+40))(*7(+10)))),5467,7,(o(o(o(odd)(o(od(od(o(o(odd)d)d)))d))d)(o(o(odd)(odd))(od(odd)))),__________0________________2_8_315_55_8________3____42_______1797
3,9,(+9(*83)),33,3,(od(odd)),_______43
7,29,(*(+(*(+(*0(+00))1)(+21))7)5),50,0,(o(o(o(o(od(odd))d)(odd))d)d),_______________00_1____33_0_0
1,1,1,1,1,d,_
6,45,(*(+(+7(+(+10)(*45)))8)(+8(+(+(+99)7)(+53)))),1476,6,(o(o(od(o(odd)(odd)))d)(od(o(o(odd)d)(odd)))),_____________1____018_6___________8_5____8316
10,53,(*(+(+3(*(*(+25)0)(+(+2(*3(*(+97)4)))0)))(*(+68)7))9),909,9,(o(o(od(o(o(odd)d)(o(od(od(o(odd)d)))d)))(o(odd)d))d),_______________7_0______________6_424_403______4_81_9
2,5,(*97),63,3,(odd),____3
2,5,(+30),3,3,(odd),____3
4,17,(*(+42)(+(+71)5)),78,8,(o(odd)(o(odd)d)),______6______8_38
3,9,(*7(+09)),63,3,(od(odd)),_______93
7,41,(+2(*(*8(+2(+48)))(*3(*5(*(*04)(*72)))))),2,2,(od(o(od(od(odd)))(od(od(o(odd)(odd)))))),_______________242____________0____400002
1,1,8,8,8,d,_
2,5,(*00),0,0,(odd),____0
5,21,(*(+58)(+3(*(*23)0))),39,9,(o(odd)(od(o(odd)d))),______3_________6_039
2,5,(*88),64,4,(odd),____4
2,5,(*02),0,0,(odd),____0
2,5,(*66),36,6,(odd),____6
1,1,1,1,1,d,_
1,1,2,2,2,d,_
1,1,6,6,6,d,_
1,1,2,2,2,d,_
4,17,(+(+(*13)7)(*55)),35,5,(o(o(odd)d)(odd)),________3_0____55
5,25,(*(*7(*4(+05)))(*(+78)8)),16800,0,(o(od(od(odd)))(o(odd)d)),____________500______5_00
4,17,(+(+(*11)7)(*72)),22,2,(o(o(odd)d)(odd)),________1_8____42
1,1,9,9,9,d,_
5,25,(+(+14)(*(+10)(*(*51)4))),25,5,(o(odd)(o(odd)(o(odd)d))),______5______1______5_005
3,9,(+(+63)3),12,2,(o(odd)d),______9_2
5,33,(*(*(*(*44)(+54))8)(*0(*(*03)2))),0,0,(o(o(o(odd)(odd))d)(od(o(odd)d))),__________6____94_2_________0_000
6,25,(*(+(*90)(*(+(*50)1)8))4),32,2,(o(o(odd)(o(o(odd)d)d))d),________0________0_1_88_2
8,49,(+9(+(+6(+86))(*(+(*2(*0(+77)))(*3(+(+14)4)))3))),110,0,(od(o(od(odd))(o(o(od(od(odd)))(od(o(odd)d)))d))),____________40______________400_________5_977_110
4,13,(+(*(*01)0)9),9,9,(o(o(odd)d)d),________0_0_9
6,37,(*(+58)(+3(*(*(+23)0)(*(+90)(+97))))),39,9,(o(odd)(od(o(o(odd)d)(o(odd)(odd))))),______3___________5_0______9____64039
3,9,(*(*39)6),162,2,(o(odd)d),______7_2
4,13,(*6(+5(+66))),102,2,(od(od(odd))),__________272
6,25,(+(*2(+(+(+68)(*69))8))0),152,2,(o(od(o(o(odd)(odd))d))d),_____________4____48_62_2
3,9,(*6(+55)),60,0,(od(odd)),_______00
2,5,(*09),0,0,(odd),____0
3,13,(*(+00)(+71)),0,0,(o(odd)(odd)),______0____80
7,29,(+(+(*(*5(+(+20)4))2)(*71))1),68,8,(o(o(o(od(o(odd)d))d)(odd))d),_______________2_60_0____77_8
1,1,0,0,0,d,_
4,17,(+(+(*13)7)(*52)),20,0,(o(o(odd)d)(odd)),________3_0____00
4,13,(*(*7(*44))5),560,0,(o(od(odd))d),_________62_0
4,17,(+(+(*13)7)(*75)),45,5,(o(o(odd)d)(odd)),________3_0____55
2,5,(+55),10,0,(odd),____0
8,37,(+(+5(+01))(+(+(+7(+0(*5(*49))))6)7)),206,6,(o(od(odd))(o(o(od(od(od(odd))))d)d)),_________16_________________6007_3_06
1,1,7,7,7,d,_
2,5,(+52),7,7,(odd),____7
1,1,9,9,9,d,_
5,29,(+(+14)(*(*(*51)4)(*(*51)4))),405,5,(o(odd)(o(o(odd)d)(o(odd)d))),______5________5_0______5_005
6,37,(*(*(*7(+33))9)(+(+(*(+56)(*02))8)7)),5670,0,(o(o(od(odd))d)(o(o(o(odd)(odd))d)d)),___________62_8__________1____00_8_50
6,25,(+0(*4(*(+10)(*(*51)4)))),80,0,(od(od(o(odd)(o(odd)d)))),____________1______5_0000
4,13,(*(*(*01)0)9),0,0,(o(o(odd)d)d),________0_0_0
3,13,(*(+44)(+44)),64,4,(o(odd)(odd)),______8____84
4,13,(*(*7(*46))5),840,0,(o(od(odd))d),_________48_0
2,5,(*36),18,8,(odd),____8
1,1,4,4,4,d,_
4,13,(*(+(+00)0)0),0,0,(o(o(odd)d)d),________0_0_0
1,1,0,0,0,d,_
2,5,(*56),30,0,(odd),____0
3,9,(+(+00)0),0,0,(o(odd)d),______0_0
2,5,(*55),25,5,(odd),____5
3,9,(*0(+44)),0,0,(od(odd)),_______80
1,1,8,8,8,d,_
2,5,(+99),18,8,(odd),____8
2,5,(+00),0,0,(odd),____0
6,33,(*(*(*(*(+00)5)4)8)(*0(*(*03)2))),0,0,(o(o(o(o(odd)d)d)d)(od(o(odd)d))),____________0_0_0_0_________0_000
2,5,(+88),16,6,(odd),____6
10,81,(+(+(+85)(*1(*9(+(+(*9(*(*61)7))(+(+21)0))(+(*6(+6(*21)))3)))))(+(*(*34)(+21))4)),3941,1,(o(o(odd)(od(od(o(o(od(o(odd)d))(o(odd)d))(o(od(od(odd)))d)))))(o(o(odd)(odd))d)),________3___________________6_28______3_31____________288_12881________2____36_01
4,17,(+(+(*11)7)(*75)),43,3,(o(o(odd)d)(odd)),________1_8____53
5,25,(*(*7(*44))(+5(*(+78)8))),14000,0,(o(od(odd))(od(o(odd)d))),_________62_________5_050
3,9,(*0(+24)),0,0,(od(odd)),_______60
1,1,5,5,5,d,_
3,9,(+0(+55)),10,0,(od(odd)),_______00
2,5,(+36),9,9,(odd),____9
3,9,(*0(+55)),0,0,(od(odd)),_______00
2,5,(+05),5,5,(odd),____5
3,9,(*(+00)0),0,0,(o(odd)d),______0_0
2,5,(+08),8,8,(odd),____8
4,13,(*6(*5(+66))),360,0,(od(od(odd))),__________200
1,1,7,7,7,d,_
1,1,0,0,0,d,_
2,5,(*00),0,0,(odd),____0
5,17,(*(+(+(*37)2)7)2),60,0,(o(o(o(odd)d)d)d),__________1_3_0_0
4,13,(*6(*5(+96))),450,0,(od(od(odd))),__________550
2,5,(+66),12,2,(odd),____2
1,1,3,3,3,d,_
3,9,(+(+33)3),9,9,(o(odd)d),______6_9
2,5,(+50),5,5,(odd),____5
2,5,(*09),0,0,(odd),____0
1,1,5,5,5,d,_
4,17,(+(+54)(+(+09)0)),18,8,(o(odd)(o(odd)d)),______9______9_98
6,29,(*(+6(+41))(+7(+(+(+16)0)3))),187,7,(o(od(odd))(od(o(o(odd)d)d))),_________51___________7_7_077
2,5,(*99),81,1,(odd),____1
3,9,(+(+00)0),0,0,(o(odd)d),______0_0
2,5,(*77),49,9,(odd),____9
2,5,(*73),21,1,(odd),____1
4,17,(+(*54)(+(+09)0)),29,9,(o(odd)(o(odd)d)),______0______9_99
2,5,(*49),36,6,(odd),____6
2,5,(*00),0,0,(odd),____0
3,9,(+(+02)5),7,7,(o(odd)d),______2_7
2,5,(*73),21,1,(odd),____1
8,61,(*(+(*1(*0(+6(+(*94)(*84)))))9)(*(*2(*(+0(*0(*11)))5))(*86))),0,0,(o(o(od(od(od(o(odd)(odd)))))d)(o(od(o(od(od(odd)))d))(odd))),___________________6____28400_9_________________100_00____800
3,9,(*0(*66)),0,0,(od(odd)),_______60
3,9,(*0(*60)),0,0,(od(odd)),_______00
3,9,(+(+00)2),2,2,(o(odd)d),______0_2
2,5,(+83),11,1,(odd),____1
3,13,(*(+51)(*49)),216,6,(o(odd)(odd)),______6____66
1,1,2,2,2,d,_
3,9,(+(*66)4),40,0,(o(odd)d),______6_0
6,33,(+7(*(*(+(*11)1)8)(*(+(*11)1)8))),263,3,(od(o(o(o(odd)d)d)(o(o(odd)d)d))),_____________1_2_6________1_2_663
7,41,(*(+(*(*00)0)(*(*(+03)2)(+(+(*50)5)7)))9),648,8,(o(o(o(odd)d)(o(o(odd)d)(o(o(odd)d)d)))d),__________0_0________3_6________0_5_222_8
1,1,4,4,4,d,_
7,57,(*(+(*(*(+03)2)(+(+(*50)5)7))(*(*(+03)2)(+(+(*50)5)7)))9),1296,6,(o(o(o(o(odd)d)(o(o(odd)d)d))(o(o(odd)d)(o(o(odd)d)d)))d),____________3_6________0_5_22________3_6________0_5_224_6
2,5,(*00),0,0,(odd),____0
3,9,(*(+25)6),42,2,(o(odd)d),______7_2
6,21,(+7(*0(*(+(*11)1)8))),7,7,(od(od(o(o(odd)d)d))),______________1_2_607
2,5,(+02),2,2,(odd),____2
1,1,3,3,3,d,_
3,9,(+(+10)4),5,5,(o(odd)d),______1_5
3,9,(+0(*37)),21,1,(od(odd)),_______11
2,5,(+48),12,2,(odd),____2
3,9,(+(+11)0),2,2,(o(odd)d),______2_2
2,5,(+44),8,8,(odd),____8
3,9,(+(+00)5),5,5,(o(odd)d),______0_5
3,9,(+(+11)4),6,6,(o(odd)d),______2_6
1,1,5,5,5,d,_
2,5,(+73),10,0,(odd),____0
2,5,(+19),10,0,(odd),____0
3,9,(+(*64)4),28,8,(o(odd)d),______4_8
5,17,(*9(*(+2(*00))5)),90,0,(od(o(od(odd))d)),____________02_00
2,5,(+00),0,0,(odd),____0
5,21,(+4(+(+47)(+1(*61)))),22,2,(od(o(odd)(od(odd)))),_________1_______6782
9,61,(*9(+(*(*0(+6(+(*94)(*84))))9)(*(*2(*(+0(*0(*11)))5))(*86)))),0,0,(od(o(o(od(od(o(odd)(odd))))d)(o(od(o(od(od(odd)))d))(odd)))),___________________6____2840_0_________________100_00____8000
1,1,0,0,0,d,_
9,41,(+(*(*2(+0(+(*70)(+9(*(*75)6)))))1)(*14)),442,2,(o(o(od(od(o(odd)(od(o(odd)d)))))d)(odd)),________________0_________5_09998_8____42
2,5,(*66),36,6,(odd),____6
4,13,(*9(*(+22)5)),180,0,(od(o(odd)d)),_________4_00
5,17,(*9(*(+2(*05))5)),90,0,(od(o(od(odd))d)),____________02_00
1,1,1,1,1,d,_
2,5,(+33),6,6,(odd),____6
1,1,3,3,3,d,_
1,1,7,7,7,d,_
6,21,(+7(*0(*(+(*10)1)8))),7,7,(od(od(o(o(odd)d)d))),______________0_1_807
2,5,(*00),0,0,(odd),____0
2,5,(+00),0,0,(odd),____0
1,1,9,9,9,d,_
2,5,(*65),30,0,(odd),____0
3,9,(+(+25)6),13,3,(o(odd)d),______7_3
6,33,(+7(*(*(+(*11)1)8)(+(+(*11)1)8))),167,7,(od(o(o(o(odd)d)d)(o(o(odd)d)d))),_____________1_2_6________1_2_007
2,5,(+50),5,5,(odd),____5
2,5,(*22),4,4,(odd),____4
2,5,(*25),10,0,(odd),____0
5,17,(*9(*(+2(*55))0)),0,0,(od(o(od(odd))d)),____________57_00
8,61,(*(+(*2(*0(+6(+(*94)(*84)))))9)(*(*2(*(+0(*0(*11)))5))(*86))),0,0,(o(o(od(od(od(o(odd)(odd)))))d)(o(od(o(od(od(odd)))d))(odd))),___________________6____28400_9_________________100_00____800
1,1,8,8,8,d,_
2,5,(*60),0,0,(odd),____0
1,1,6,6,6,d,_
2,5,(+34),7,7,(odd),____7
2,5,(+99),18,8,(odd),____8
1,1,8,8,8,d,_
1,1,1,1,1,d,_
3,9,(+(*46)4),28,8,(o(odd)d),______4_8
1,1,0,0,0,d,_
2,5,(+44),8,8,(odd),____8
2,5,(*33),9,9,(odd),____9
1,1,0,0,0,d,_
9,53,(*(*(+6(*(+(+(*4(+00))8)3)(+(*40)(*(+48)8))))(+67))4),55224,4,(o(o(od(o(o(o(od(odd))d)d)(o(odd)(o(odd)d))))(odd))d),____________________00_8_1______0______2_6662____36_4
5,17,(*9(*(+2(*35))0)),0,0,(od(o(od(odd))d)),____________57_00
1,1,8,8,8,d,_
3,9,(*(*17)1),7,7,(o(odd)d),______7_7
3,9,(+0(+01)),1,1,(od(odd)),_______11
2,5,(*10),0,0,(odd),____0
3,9,(*1(+00)),0,0,(od(odd)),_______00
1,1,6,6,6,d,_
1,1,3,3,3,d,_
3,9,(*6(*00)),0,0,(od(odd)),_______00
3,9,(*(*44)9),144,4,(o(odd)d),______6_4
1,1,0,0,0,d,_
4,13,(*(*1(+11))7),14,4,(o(od(odd))d),_________22_4
2,5,(+10),1,1,(odd),____1
3,9,(*7(*05)),0,0,(od(odd)),_______00
4,13,(*(+(*00)0)7),0,0,(o(o(odd)d)d),________0_0_0
5,25,(+1(+(*00)(+(*07)(*87)))),57,7,(od(o(odd)(o(odd)(odd)))),_________0______0____6667
2,5,(*00),0,0,(odd),____0
2,5,(+69),15,5,(odd),____5
7,29,(+(*(*(*(*06)(*(+31)1))1)9)5),5,5,(o(o(o(o(odd)(o(odd)d))d)d)d),____________0______4_40_0_0_5
1,1,1,1,1,d,_
4,17,(*(*05)(*5(+09))),0,0,(o(odd)(od(odd))),______0_______950
2,5,(+22),4,4,(odd),____4
2,5,(+55),10,0,(odd),____0
1,1,4,4,4,d,_
4,13,(+1(+(*00)0)),1,1,(od(o(odd)d)),_________0_01
4,13,(*(*1(*41))7),28,8,(o(od(odd))d),_________44_8
3,9,(*(+99)9),162,2,(o(odd)d),______8_2
2,5,(*24),8,8,(odd),____8
3,9,(*(*77)0),0,0,(o(odd)d),______9_0
3,13,(+(+21)(*66)),39,9,(o(odd)(odd)),______3____69
4,13,(*(+(+00)0)0),0,0,(o(o(odd)d)d),________0_0_0
5,21,(+(*(+59)(*(+20)8))6),230,0,(o(o(odd)(o(odd)d))d),________4______2_64_0
4,17,(*(+5(*96))(+25)),413,3,(o(od(odd))(odd)),_________49____73
5,29,(*9(*(+(+66)(*68))(*5(*46)))),64800,0,(od(o(o(odd)(odd))(od(odd)))),___________2____80_______4000
1,1,2,2,2,d,_
7,29,(+(*(*(*(*(+01)(+30))1)1)9)5),32,2,(o(o(o(o(o(odd)(odd))d)d)d)d),______________1____33_3_3_7_2
6,25,(+0(+3(*(*(*28)(*54))9))),2883,3,(od(od(o(o(odd)(odd))d))),______________6____00_033
1,1,9,9,9,d,_
4,17,(*(*05)(*5(+91))),0,0,(o(odd)(od(odd))),______0_______000
4,13,(+(+(+00)0)0),0,0,(o(o(odd)d)d),________0_0_0
2,5,(+55),10,0,(odd),____0
3,9,(*(+77)0),0,0,(o(odd)d),______4_0
1,1,3,3,3,d,_
4,13,(+1(+(*00)1)),2,2,(od(o(odd)d)),_________0_12
